BuildingType,PrimaryPropertyType,YearBuilt,Neighborhood,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore_imputer,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,LPUT,SLPUT,ENERGYSTARScore
NonResidential,Worship Facility,1910,east,2,0,24600,69.0,14.10000038,0.23,Électricité,Low,Low,69.0
NonResidential,Worship Facility,1900,east,1,0,48850,74.33333333333333,34.29999924,1.33,Vapeur,Low,Low,
NonResidential,Hospital,1961,southwest,3,0,54863,100.0,18.79999924,0.26,Électricité,High,High,100.0
NonResidential,Warehouse,1964,greater duwamish,1,0,25000,38.333333333333336,81.80000305,2.64,GazNaturel & Électricité,Low,Low,
NonResidential,Warehouse,1960,greater duwamish,1,0,25000,91.33333333333333,13.69999981,0.34,Électricité & GazNaturel,Low,Low,
NonResidential,Other,1927,greater duwamish,1,0,22622,98.0,37.90000153,1.17,GazNaturel & Électricité,Medium,Medium,
NonResidential,Small- and Mid-Sized Office,1917,east,3,0,27544,94.0,48.79999924,0.63,Électricité,Medium,Medium,94.0
NonResidential,Small- and Mid-Sized Office,1989,downtown,7,0,47415,68.66666666666667,45.59999847,0.22,Électricité,Medium,Medium,
NonResidential,Other,1961,magnolia / queen anne,3,0,22960,67.33333333333333,106.5999985,4.15,GazNaturel,Medium,Medium,
NonResidential,Supermarket / Grocery Store,1998,east,1,0,44739,17.0,335.3999939,8.79,Électricité & GazNaturel,High,High,17.0
NonResidential,Mixed Use Property,1948,northeast,1,0,22778,63.333333333333336,61.20000076,5.31,GazNaturel,Medium,Medium,
NonResidential,Worship Facility,1956,ballard,2,0,21562,20.0,46.59999847,1.73,GazNaturel,Low,Low,20.0
NonResidential,Other,1959,central,1,0,25753,89.66666666666667,62.59999847,2.43,GazNaturel,Medium,Medium,
NonResidential,Other,1928,east,3,0,71280,18.333333333333332,325.5,12.09,GazNaturel & Électricité,High,High,
NonResidential,Senior Care Community,1963,east,16,0,153312,51.0,99.59999847,5.17,GazNaturel & Électricité,High,High,51.0
NonResidential,Mixed Use Property,2009,downtown,19,201857,1004813,87.0,55.0,0.33,Électricité,Medium,Medium,87.0
NonResidential,Worship Facility,1968,southeast,1,0,24200,73.0,37.20000076,0.92,Électricité & GazNaturel,Low,Low,73.0
